,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
10,Chestnut Crabapple,Malus domestica,MAY-lus doh-MESS-tik-a,,"An excellent pollinator for other apples. This annual bearer produces 2-inch pale yellow crabapples with streaky red blushes and some russeting. Creamy white flesh is fine-grained and crisp, juicy, with a sweet, nut-like flavor that is great for fresh eating, cooking or making jellies.",3,-40°,,12-15',12-15',,Pollinators: Cortland; Honeycrisp; McIntosh; Snowsweet; Sweet Sixteen; Winecrisp,May/Early September,Green,Yellow,White,"Deciduous; Flowering Group 3; Pleasant nut-like flavor; Large crabapple (2 diameter); Outstanding flavor and good texture for fresh eating; Medium storage life; Hardy""",95,,,,,
11,Cortland Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"An older, well-known variety. Medium-sized, crisp and bright red with a sprightly tropical, tart flavor. White flesh holds its color well after being cut. Excellent for eating and cooking. Ripens in mid-September. 2-3 week storage.",4,-30°,,9-12',10-12',,"Partially self-fertile; Pollinators: Frostbite, Gala; Snowsweet, Sweet Sixteen, Winecrisp",Early - Mid/Late Season Fruit,Green,Yellow,White,Medium-sized; Bright red with a sprightly tropical flavor; Excellent for eating and cooking; Deciduous; Flowering Group 3; Partially self-fertile; Diploid; 2-5 years to bear; Staking recommended; White blossoms;,95,,,,,
12,Fireside Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,Excellent flavor good for eating. Good storage life. One of the most popular apples in Minnesota. Resistant to cedar-apple rust.,4,-30°,,Medium: 9 - 12,44846,,Pollinators: Frostbite; Gala; Honeycrisp; Snowsweet; Sweet SIxteen; Winecrisp;,Mid Spring/ Late September to early October fruit,Green,Yellow,White/Pink,"Deciduous; Flowering Group 3; Diploid; Pink blooms; Large, red striped, sweet fruit; Stores well; 2-5 years to bear; Staking recommended.",95,,,,,
13,Freedom Apple,Malus domestica,MAY-lus doh-MESS-tik-a,"Juicy, Sugarcane-Sweet, Crisp Apples. Gr","Exceptional disease resistance! Easy-care tree ideal for areas with apple scab, powdery mildew, cedar apple rust, and fire blight issues. This vigorous tree has a lovely spreading nature. Juicy, Sugarcane-Sweet, Crisp Apples. Great for fresh eating, cider, juicing, drying and cooking. 1-2 month storage.",4,-30°,,10-12',10-12',,"Pollinators: Cortland, Frostbite, Gala; Honeycrisp; McIntosh; Snowsweet; Winecrisp;",Mid Spring/Mid-Season,Green,Yellow,White,"Deciduous; Flowering Group 4; Diploid; Large bright-red, sweet, crisp fruit; Stores until Jan; 2-5 years to bear; Staking recommended.",0,,,,,
14,Frostbite Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Small apple with a very sweet, intense taste. Crisp but firm texture and juicy. Great for cider or cooking. 1-2 months storage.",3B,-35°,,9-12',10-12',,Pollinators: Cortland; Gala; Honeycrisp; Mcintosh; Snowsweet; Winecrisp;,Mid Spring/Late Sep-Early Oct,Green,Yellow,White,Deciduous; Flowering Group 3; Diploid;  2-5 years to bear; Staking recommended.,95,,,,,
15,Gala Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"The sweet flavor of ripe fruit is a surprise compared to supermarket examples. A good variety for juicing, as you might expect the flavor is rich and sweet, useful for mixing with other sharper varieties. All purpose dessert apple. Stores 3 months or more.",4,-30°,,12-18',10-15',,Pollinators: Cortland; Frostbite; Honeycrisp; Snowsweet; Sweet Sixteen; Winecrisp;,Mid Spring/September,Green,Yellow,Pink/White,Deciduous; Flowering Group 4; Diploid;,95,,,,,
16,Gravenstein Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Outstanding-quality dessert apple. Vigorous yields crops of medium fruit with red-over-green skin and creamy yellow flesh at maturity. Remarkable flavor when eaten fresh. Holds its shape when baked and makes excellent sauces. Antique variety, originates from Denmark, circa 1797. Cold-hardy. Ripens in September.",2,-50°,,,,,,,,,,Deciduous; Flowering Group 1; Needs two different Pollinators: McIntosh; Zestar,95,,,,,
17,Haralred Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Medium sized, deep red fruit. This crisp apple has a white, firm, juicy, crisp flesh with a tart flavor. This apple tree is hardy and fire blight resistant. These apples are great for cooking and stores well.",3,-40°,,Medium: 9 - 12,44846,,,Mid Spring/ Late September to early October fruit,,,,Deciduous; Flowering Group 4; Pollinators: Cortland; Frostbite; Gala; Honeycrisp; Snowsweet; Sweet Sixteen; Winecrisp; 2-5 years to bear; Staking recommended. White flowers;,95,,,,,
18,Haralson Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"This variety produces large, tart apples that are very firm. They are excellent for pies and also for fresh eating for those who prefer eating hard, tart apples that hold their shape well when sliced and cooked in a pie. They do not mush up when cooked so are not great for applesauce but excellent for all other cooked products. Extremely cold hardy variety that stores well.",3,-35°,,Medium: 9 - 12,44846,,,Mid Spring/ Late September to early October fruit,,,,Deciduous; Flowering Group 3; Diploid; Pollinators: Cortland; Gala; Honeycrisp; McIntosh; Snowsweet; Sweet Sixteen; Winecrisp) bi-ennial bearer; 2-5 years to bear; Staking recommended.White flowers; Foliage: Green in the summer; Yellow in the fall.,95,,,,,
19,Hazen Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Fruit large and dark red. Flesh green-yellow, juicy. Flavor is sweet but mild, pleasant for eating, cooking, and as a dessert apple. An annual bearer. A natural semi-dwarf tree growing to about 10 to 15 feet in height. Short storage life. Hardy variety.",3,-40°,,,,,,,,,,Deciduous; Flowering Group ; Pollinators: Cortland; Frostbite; McIntosh; Snowsweet; Sweet Sixteen; Winecrisp; Zestar,95,,,,,
20,Honeycrisp Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Fruit is aromatic and sweet as honey with an explosively juicy, crisp texture. Grow this naturally compact tree even in small spaces. Stores 3 months or more.",4,-30°,,Medium: 9 - 12,44846,,,Mid Spring/ Late September to early October fruit,,,,Deciduous; Flowering Group 4; Diploid; Pollinators: Cortland; Gala; Snowsweet; Sweet Sixteen; Winecrisp; 2-5 years to bear; Staking recommended.,95,,,,,
21,Jonagold Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Golden Delicious mixed with Jonathan. Very versatile apple. As well as being excellent for eating fresh, it is a popular for all kinds of culinary uses, and good for juice and cider. The apples can be picked over several weeks - pick earlier if you want to store them.",Tender Zone 5,-20°,,Medium: 12 - 18,44849,,,Mid Spring/ Mid September,,,,Deciduous; Flowering Group 4; Triploid; Needs 2 different pollinators: Cortland; Frostbite; Honeycrisp; Snowsweet; Sweet Sixteen; Winecrisp; White Blossoms; Foliage: Green; Fall Foliage: Yellow,95,,,,,
22,KinderKrisp Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Kids love it! This variety yields sweet, juicy fruit just the right size for little hands. Ideal for lunch boxes and afternoon snacks. Outstanding flavor and crisp, fine texture reminiscent of Honeycrisp. Best when picked fresh from the tree; Can be stored.",4,-30°,,Medium: 9 - 12,44846,,Pollinators: Cortland; Haralred; Haralson; Honeycrisp; White flowered crab apple,Early - Mid Spring/ Late August,Green,,White,"Deciduous; Diploid; Flowering Group 3; Small - Med, Red, Crisp fruit; 2-5 years to bear; Staking recommended.",95,,,,,
23,Lodi Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Cross between a Yellow Transparent and a Montgomery. Greenish yellow. Similar in taste to the yellow transparent, but larger.Though they are delicious, does not stay fresh for very long. Can be sliced and frozen in order to extend the harvest. They have a soft, creamy flesh that s perfect for pies and applesauce.",3,-40°,,,,,,Mid Spring/ August,,,,Deciduous; Flowering Group 2; Triploid; Needs two different Pollinators: Cortland; Frostbite; McIntosh; Snowsweet; Sweet Sixteen; Winecrisp; Zestar; White Blossoms; Foliage: Green; Fall Foliage: Yellow,95,,,,,
24,McIntosh Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Outstanding early fruit. Heavy producer. The sweet tart taste and tender white flesh of the McIntosh Apple makes it great for snacking and juices. The first of the all-purpose apples. Red over green fruit, sweeter fruit. Stores 2-3 weeks. Heirloom",4,-30°,,Medium: 9 - 12,44846,,,Early season,,,,Deciduous; Flowering Group 2; Diploid; Pollinators: Frostbite; Snowsweet; Sweet Sixteen; Winecrisp; 2-5 years to bear; Staking recommended. White Flowers; Early Season;,95,,,,,
25,SnowSweet Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Crisp sweet-flavored new apple variety, with bright white flesh and crimson red skin. Cut slices turn brown only very slowly, so this is a useful variety for salads. Stores 1-2 months.",4,-30°,,Medium: 9 - 12,44846,,,Mid Spring/ Late September to early October fruit,,,,"Deciduous; Flowering Group 3; Diploid; Pollinators: Cortland, Frostbite, Gala; Honeycrisp; McIntosh; Sweet Sixteen; Winecrisp; 2-5 years to bear; Staking recommended. White flowers; Foliage: Green; Fall Foliage: Yellow; Fragrant",95,,,,,
26,Sweet Sixteen Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,One of the best apple varieties for the north country. Inherits cold-hardiness from both parents: Northern Spy and Malinda. Bright red fruit is sweet and complex. They store 1-2 months refrigerated.,4,-30°,,Medium: 9 - 12,44846,,,Mid-Late Spring/ Mid-September,,,,"Deciduous; Flowering Group 3; Diploid; Pollinators: Cortland, Gala; Honeycrisp; McIntosh; Snowsweet; Winecrisp; 2-5 years to bear; Staking recommended. White flowers; Foliage: Green; Fall Foliage: Yellow",95,,,,,
27,Winecrisp Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"The fruit is medium to large in size and colors to a deep purple-red. Flesh is very firm, juicy and crisp and exhibits a pleasantly balanced sweet-tart, spicy flavor. Great storage life, keeping six to eight months in regular cold storage.",4,-30°,,Medium: 9 - 12,44846,,,Mid Spring/ Late September to mid October fruit,,,,"Deciduous; Flowering Group 3; Diploid; Pollinators: Cortland, Frostbite, Gala; Honeycrisp; McIntosh; Snowsweet; Sweet Sixteen; 2-5 years to bear; Staking recommended. Pink/White Blossoms; Foliage: Green; Fall Foliage: Yellow",95,,,,,
28,Zestar! Apple,Malus domestica,MAY-lus doh-MESS-tik-a,,"Medium- large, firm, sweet and tangy fruit. Good for both fresh eating and cooking. Makes excellent apple crisp. Fruit keeps up to three weeks. May store up to 2 months in proper refrigeration.",3,-40°,,Medium: 9 - 12,44846,,,Mid Spring/ Early September,,,,Deciduous; Flowering Group 1; Diploid; Pollinators: McIntosh; Yellow Transparent; 2-5 years to bear; Staking recommended. White Blossoms; Foliage: Green; Fall Foliage: Yellow,95,,,,,
29,Swedish Quaking Aspen,Populus tremula 'Erecta',POP-yoo-lus TREM-yoo-luh ee-RECK-tuh,,"Flat, rounded green leaves flutter and rustle in the breeze providing both visual interest and soothing sound to the landscape. Very narrow form is great for small spaces, as a tall screen, and for lining a drive. Well-adapted to very cold climates.",2,-50°,,40,10,,,,,,,Deciduous. Foliage: Green; Fall Foliage: Yellow,0,,,,,
30,Quaking Aspen,Populus tremuloides,POP-yoo-lus TREM-yoo-loyds,,Fast-growing. Native.  Beneficial to wildlife. Long-lived.,2,-50°,,40-50,20-30,,,,,,,Deciduous; Foliage: Dark Green; Fall Foliage: Yellow,0,,,,,
31,Quaking Aspen Clump,Populus tremuloides,POP-yoo-lus TREM-yoo-loyds,,Fast-growing. Native.  Beneficial to wildlife. Long-lived.,2,-50°,,40-50,20-30,,,,,,,Deciduous; Foliage: Dark Green; Fall Foliage: Yellow,0,,,,,
32,Evans Bali Cherry,Prunus cerasus,Prune-US sara-sus,,Much sweeter than other sour cherries. The dark red fruit is approximately 1 inch in diameter and is excellent for baking and fresh eating. Fruit matures in August and needs no pollinator.,3,-40°,,15-20',10-12',Medium,,Mid-spring/August,Dark Green,,White,Deciduous; White blossoms; Foliage: Green; Fall Foliage: Burgundy,0,,,,,
33,Meteor Cherry,Prunus cerasus,Prune-US sara-sus,,"This hybrid of Montmorency, the Meteor cherry bears bright red, medium-sized cherries in early to midsummer. Their tart/sweet yellow flesh is great for sauces, wonderful for pies, and good for fresh eating. Ornamental; Edible Fruit.",4,-30°,,12-Oct,44783,,,Mid-Spring/August,,,,Deciduous; Self-Pollinating; White blossoms; Foliage: Green; Fall Foliage: Yellow,0,,,,,
34,Sweet Cherry Pie First Editions Cherry,Prunus cerasus,Prune-US sara-sus,,"Not quite sweet enough for fresh eating like a Bing, the cherries from this tree are fantastic for jams, jellies and pies.",4,-40°,,15,12,,,Mid-spring/August,,,,Deciduous; White blossoms; Foliage: Green; Fall Foliage: Burgundy,0,,,,,
35,Superior Plum,Prunus domestica,Prune-US doh-MESS-tik-a,,"A plum tree for northern gardens. This robust tree produces abundant crops of fire-red fruit with sweet, juicy, yellow flesh. Dessert plums like these are ideal for eating fresh off the tree.  Clingstone.",4,-30°,,15-Dec,44910,,,Mid-spring/July-August,,,,Deciduous; Pollinator: Toka; White blossoms; Foliage: Green; Fall Foliage: Burgundy,0,,,,,
36,Toka Plum,Prunus domestica,Prune-US doh-MESS-tik-a,Bubblegum Plum,"One of the best pollinators. Medium sized, rich flavored, purple-red fruit. Firm, sweet, very juicy. Eating, canning, jelly.",3,-40°,,15-20,15-20”,,,Mid Spring/ Late Summer,,,,"Deciduous; Self-pollinator, but will produce better with a Superior nearby. White blossoms; Foliage: Green; Fall Foliage: Burgundy/Purple",0,,,,,
37,Early Gold Pear,Pyrus,Pie-russ,,"Produces chartreuse oblong fruit with hints of gold and white flesh. The pears have a sweet taste, a crisp fine-grained, tender texture, and juicy flesh. Fruit must be picked before it ripens. Good for fresh eating, cooking, baking, drying, canning.",3A,-40°,,25-35,18-24,,,,,,,Deciduous; Self-Pollinating; White blossoms; Foliage: Green; Fall Foliage: Burgundy,95,,,,,
38,Parker Pear,Pyrus,Pie-russ,,"A sweet and tender semi-dwarf pear tree. This delicious fruit can be used for baking, storing, and eating. This fruit produces tasty medium-sized reddish-brown fruit in late summer; a great choice for the home orchard.",3,-40°,,15-Dec,44785,,,May/ September,,,,"Deciduous; may set fruit without a second cultivar, although the crop size will be somewhat diminished. For a good fruit set plant another suitable variety nearby. Pollinator: Patten; Early Gold; White blossoms; Foliage: Green; Fall Foliage: Purple Bronze",95,,,,,
39,Patten Pear,Pyrus,Pie-russ,,"The best quality hardy pear. Large fruit, sweet, excellent for fresh eating, and good for canning. Requires another variety as a pollinator. Should be picked 1 week before maturing and allowed to ripen off the tree. Fruit is of good size and quality. Very tender and juicy. A good pollinator for most other pear trees.",4,-30°,,15-Dec,44785,,,,,,,"Deciduous; may set fruit without a second cultivar, although the crop size will be somewhat diminished. For a good fruit set plant another suitable variety nearby. Pollinator: Parker; Early Gold; White blossoms; Foliage: Green; Fall Foliage: Burgundy",95,,,,,
40,Green Weeping Willow,Salix babylonica,,,"Sweeping, low branches and a familiar, falling canopy. The Weeping Willow is a favorite among tree lovers for its dramatic appearance and rounded, weeping shape. Plus, it s perfect for those looking for character and classic looks, adding value to their property. The Weeping Willow is an excellent shade tree that s always in high demand.",4,-30°,,30-50,30-50,,,,,,,,0,,,,,
41,European Mountain Ash,Sorbus auc European,,,This valuable ornamental tree bears showy orange-red fruits in August through September. It prefers acid soils with good drainage.,3,-40°,,20-30,20-25,,,August - September,,,,"Deciduous; Foliage: Clear, deep green; Fall Foliage: Red; No routine pruning necessary",45,,,,,
42,Black Aronia,Chokeberry,,,"Each healthy berry is similar to a small blueberry and can be added to smoothies, jams, jellies and sauces. The fruit production from each plant can be up as much as 30 or 40 pounds on each plant. The fruit is a powerful antioxidant over 400% higher than blueberries. Sour.",3,-40°,,6-Mar,44626,,,Spring/ Fall,,,,"Deciduous; NATIVE; White Blossoms; Foliage: Green; Fall Foliage: Orange, Red, Burgundy/Purple; Hedge; Attracts birds;",0,,,,,
43,Bailey Red Twig,Dogwood,,,"This fast growing shrub reaches its mature height and spread in just a few short years. Bailey takes very little care, just a few pruning cuts in early spring.",3,-40°,,10-Aug,44783,,,Spring,,,,NATIVE; Deciduous; White Blossoms; Foliage: Green; Fall Foliage: Reddish-Purple; Attracts butterflies; Hedge,0,,,,,
44,Common Purple Lilac,Lilac,,,"The delightfully fragrant flowers are large and profuse, and they provide fantastic spring color. They are showy in the landscape and make knockout cut flower arrangements. Easy care.",3,-40°,,10-Aug,44783,,,Spring,,,,Accent; Hedge; Privacy screen; Attracts butterflies and hummingbirds; Deer resistant; Deciduous; Foliage: Green; Fall Foliage: Yellow,0,,,,,
45,Anthony Waterer Spirea,Spirea,,,"Flat-topped heads of rosy pink flowers cover this low, spreading shrub. New spring foliage is an attractive reddish purple. This more compact form requires little pruning to maintain a neat size, making it ideal in the foreground of shrub borders.",4,-30°,,5-Mar,44625,,,Summer,,,,Deciduous. Pink blossoms. Foliage: Green; Hedge; Massed; Ground Cover,0,,,,,
46,Froebelii Spirea,Spirea,,,"Thriving in most locations,  Froebelii  is easily grown in average, medium moisture, well-drained soils in full sun; plus it tolerates light shade.  Froebelii  is reported to have better heat and drought tolerance than most other cultivars. Removing faded flower clusters encourages additional bloom. This spirea flowers on new wood, so prune in late winter to early spring if needed.",4,-30°,,4-Mar,44596,,,Summer,,,,Deciduous. Pinkish Red blossoms. Foliage: Green; Fall Foliage: Purple; Hedge; Massed; Ground Cover,0,,,,,
47,Goldflame Spirea,Spirea,,,"A dense, upright mounded shrub with attractive bronze-tinged new growth in spring. Panicles of rosy red flowers rise above the foliage in summer, creating a dynamic contrast. Excellent for brightening shrub borders. Good heat tolerance.",4,-30°,,4-Mar,Wider than 3-4,,,Summer,,,,Deciduous. Red blossoms. Foliage: Yellow-Green; Fall Foliage: Copper Orange; Hedge; Massed; Ground Cover,0,,,,,
48,Goldmound Spirea,Spirea,,,"Vibrant golden spring foliage, accented by clusters of pink flowers, cools to a yellowish green in summer then a rich, yellowish orange in fall. Great color addition to a shrub or perennial border, or to brighten patio or terrace in decorative containers.",4,-30°,,3-Feb,4,,,Late Spring,,,,Deciduous. Pink blossoms. Foliage:-Chartreuse; Fall Foliage: Yellow Orange; Hedge; Massed; Ground Cover,0,,,,,
49,Little Princess Spirea,Spirea,,,"It tolerates a wide range of soils, and should be pruned in late winter to early spring.Profuse pink flowers in small corymbs cover the arching stems of this plant in late spring. Flowers and leaves all appear on the same side of the arching branches.",4,-30°,,4-Feb,44596,,,Summer,,,,Deciduous. Pink blossoms. Foliage: Blue-Green; Fall Foliage: Yellow; Hedge; Massed; Ground Cover,0,,,,,
50,Snowmound Spirea,Spirea,,,"An easy to grow shrub with graceful, spreading branches, dark green foliage, and an abundance of white flower clusters that provide a spectacular show in mid- to late spring. Use at the back of the border or as a showy spring accent. Cut stems with blossoms create stunning flower arrangements.",4,-30°,,5-Mar,44625,,,Mid-Late Spring,,,,Deciduous. White blossoms. Foliage: Green; Hedge; Massed; Ground Cover,0,,,,,
51,Vanhoutte Spirea,Spirea,,,Arching stems and blue-green foliage make for a handsome plant spring to frost. In spring clusters of white flowers decorate the cascading branches. An old favorite for borders and hedging. Widely adaptable and tolerant of mild drought when established.,3,-40°,,5-Mar,44625,,,Mid-Late Spring,,,,Deciduous. White blossoms. Foliage: Blue Green; Hedge; Massed; Ground Cover; Attracts Butterflies; Fall Color,0,,,,,
52,Gro-Low Fragrant Sumac,Sumac Rhus aromatica,,,"Excellent for mass beds and bank control, this low growing sumac has fragrant small yellow flowers in spring followed by velvety red fruit. The fall foliage is spectacular. Best when planted in Full Sun, plants should be cut back for best bud break.",4,-30°,,30”,44720,,,Spring,,,,Fragrant; GROUND COVER; Deciduous; Foliage: Medium green; Fall Foliage: Scarlet to Orange,95,,,,,
53,Kinnickinnick,Arctostaphylos uva-ursi,,Red Bearberry,"This is a fine plant for cascading over the edge of a wall. It's a hardy, prostrate shrub with intricate branching that often forms mats up to 3 feet wide, by runners. Fragrant, white bell-shaped flowers tinged with pink are borne in May and followed later in the season by red berries. The common bearberry's stunning red stems are studded with small, glossy, evergreen leaves.",2,-50°,,"4-6""",1-3',,,Spring/Summer,,,,EVERGREEN; GROUND COVER; NATIVE; Waterwise.,12,,,,,
54,Yellow Flowering Currant,Currant,,Clove Currant,"Fragrant yellow flowers in May. Black berries in late summer. Valued for its foliage and flowers. Hummingbirds feed on nectar and other birds eat the berries. The bushes are highly ornamental and provide visual appeal, and provide plenty of fruit for eating fresh or making into preserves and pies.",2,-50°,,6-May,44687,,,Spring/ Summer,,,,"Deciduous; Yellow Blossoms; Foliage: Green; Fall Foliage: Yellowish Red; Showy Flowers, Fragrant Flowers, Edible Fruit, Attracts Birds, Attracts Butterflies; Hedge",0,,,,,
55,Golden Elderberry,Elderberry,,,Edible berry for jams and jellies; The plant also produces clusters of fragrant tiny white flowers in mid August that are later followed by red berries that are enjoyed by the birds.,3,-40°,,12-May,44720,,,Summer / Fall,,,,Deciduous; White blossoms; Foliage: Golden Yellow,0,,,,,
56,Burning Bush,Euonymous Alatus Compacta,yoo-ON-ih-mus a-LAY-tus kom-PAK-ta,,"A sensational accent or natural hedge prized for its intense scarlet red fall coloring. The interesting, compact, mounded form displays attractive rich green leaves spring through summer. Exceptional when featured en masse, at the foreground of larger conifers or evergreen shrubs.",4,-30°,,8-Jun,44783,,,,,,,Deciduous; Foliage: Green; Fall Foliage: Red,0,,,,,
57,Cistena Flowering Plum,Flowering Plum,,,,2,-50°,,8-Jun,44657,,,Spring,,,,Deciduous; Foliage: Red-Purple Red; Fall Foliage: Burgundy/Purple; Attracts birds; butterflies,0,,,,,
58,Newport Flowering Plum,Flowering Plum,,Purple Leaf Sandcherry,"Although most people grow this tree for its ornamental features, it does develop small, edible fruit when planted together in groups. The fruits are small, which is why it s nicknamed the 'Cherry Plum' tree. Just like Crabapples, you can use these fruits for jelly, or leave them for the birds to enjoy.",4,-30°,,15-20,15-20,,,Mid Spring/ Early-Late Fall,,,,"Deciduous; Pink/White blossoms; Foliage: Purple; Fall Foliage: Burgundy/Purple; Attracts birds; butterflies; Deer resistant; This plant is potentially poisonous and would be best not planted around farm animals, schools, or in landscapes where pets and/or children might ingest any part of the blooms or leaves.",0,,,,,
59,Gooseberry,Gooseberry,,,"When these big oval berries change from their spring green to a blush-pink, they re ready to pick and eat. Greatest pie ever made, and irresistible in jelly, too. Almost no care. Sweet-tart.",3,-40°,,5-Mar,44626,,,Spring/ August Fruit,,,,,0,,,,,
60,Annabelle Hydrangea,Hydrangea,hy-DRAIN-juh ar-bo-RES-senz,,"Stunning pure white flowers, much larger than others of the species - up to 12 inches across! Blooms appear in late spring to summer, often continuing into fall. Strong, straight stems hold the huge flower heads up well, despite heavy rain. This full, lush shrub needs plenty of room to show off its spectacular beauty.",4,-30°,,5,5,,,Late Spring - Fall,,,,Deciduous; Foliage: Green; Massed; Containers; Cut Flowers; Showy; Attracts butterflies; Loves acidic fertilizer,0,,,,,
61,Pink N Pretty Hydrangea,Hydrangea,,,"A superb flowering shrub to use as a showy accent or specimen, or for perennial borders in semi-shaded areas. Desired for its abundance of splendid, violet-pink, large, mophead flower clusters and handsome, glossy green foliage on a boldly branched, mounded form.","5, tender perennial",-20°,,6-Apr,44624,,,"Spring, repeating through summer.",,,,Deciduous; Foliage: Green; Massed; Containers; Cut Flowers; Showy; Attracts butterflies; Loves acidic fertilizer,0,,,,,
